# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.300000000000000000e+02,3.332382292954536029e-02,2.437969524107922586e-02,5.795061193869556204e-01,2.516656279810614016e-02,1.819437736901346287e-03,1.685933226600512145e-03,7.865112281939101030e-03,1.682850951236820056e-03
4.320000000000000000e+02,3.150946034665634554e-02,2.480711561991192152e-02,5.857099500870169839e-01,2.560949301336849782e-02,1.733657541252962581e-03,1.678693420373530022e-03,7.869727172991992231e-03,1.688975403182658812e-03
4.340000000000000000e+02,2.970201667490046313e-02,2.602411394121405611e-02,5.887659886136780152e-01,2.681051755832558614e-02,1.651449407270282315e-03,1.744948686819592591e-03,7.868868664724091092e-03,1.745760769143957355e-03
4.360000000000000000e+02,2.829077838961967586e-02,2.793803093521452646e-02,5.963676183845642020e-01,2.880238885162667364e-02,1.561622964768875389e-03,1.853778196571164664e-03,7.846029657264623827e-03,1.858102363676697195e-03
4.380000000000000000e+02,2.779976197639535962e-02,3.109277096435558371e-02,6.224448290689297281e-01,3.202281363401603825e-02,1.518178919873306451e-03,2.018551893172329872e-03,8.070858320857621920e-03,2.011867841709869421e-03
4.400000000000000000e+02,2.702015179083808866e-02,3.410589877817583881e-02,6.432286126439715757e-01,3.508984742792752021e-02,1.508709527129309391e-03,2.196065929171852390e-03,8.227755284005643446e-03,2.202081166661042002e-03
4.420000000000000000e+02,2.600523846319005572e-02,3.674346877737252187e-02,6.591315146037703965e-01,3.777004647033432166e-02,1.456613861302420493e-03,2.342627912638150286e-03,8.384253597146477596e-03,2.318905961854721316e-03
4.440000000000000000e+02,2.447089395846517579e-02,3.814115867629133683e-02,6.636424870579842317e-01,3.916826473241309670e-02,1.380681968038470269e-03,2.392761776979962333e-03,8.448279240745820359e-03,2.382002488770708186e-03
4.460000000000000000e+02,2.318538363882287345e-02,3.868170347742963533e-02,6.738023452011724368e-01,3.972888712433943897e-02,1.331744794182874135e-03,2.449414339698194071e-03,8.457855731205164360e-03,2.420497729079643633e-03
4.480000000000000000e+02,2.190301850297983813e-02,3.800422824972175123e-02,6.834887725134304315e-01,3.905640187373231320e-02,1.254692062844170366e-03,2.441763305504494538e-03,8.538778684113195253e-03,2.401215647088846862e-03
4.500000000000000000e+02,2.061221763451162939e-02,3.630566885643192465e-02,6.915081979733371798e-01,3.735590586624396719e-02,1.206575839347867564e-03,2.382188508136766098e-03,8.758857063533867504e-03,2.357628424758893056e-03
