# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.160000000000000000e+02,1.757168675765552815e-02,3.194470390702620899e-02,3.692979177460468110e-01,3.200448485082762334e-02,1.842894402970882877e-03,2.418527313132986731e-03,5.843066901739236291e-03,2.371961885900058294e-03
4.180000000000000000e+02,1.708748438575393228e-02,3.505956182675225297e-02,3.925629929626927028e-01,3.511517375243886768e-02,1.784033920502647820e-03,2.572306769654430798e-03,5.870352440676212223e-03,2.556333089425848713e-03
4.200000000000000000e+02,1.669091189587482843e-02,3.797857760883494721e-02,4.208793919185742638e-01,3.806539165330049407e-02,1.744773915131519202e-03,2.588170989894559865e-03,6.266776921303717288e-03,2.564903169877727224e-03
4.220000000000000000e+02,1.631214659615883716e-02,3.986576792356846810e-02,4.511684636773977686e-01,3.990113666808126069e-02,1.704735032970071959e-03,2.524690268461841306e-03,6.636150782687653786e-03,2.529874985137674226e-03
4.240000000000000000e+02,1.570823151992439479e-02,4.026752364107916149e-02,4.755965442451697833e-01,4.026769934183571653e-02,1.663419593390820603e-03,2.530903778275224360e-03,6.773074001394149141e-03,2.500507011717599017e-03
4.260000000000000000e+02,1.513424443899953793e-02,3.975233203464498266e-02,4.971832069468797854e-01,3.975741564034666886e-02,1.617749181060708016e-03,2.524821607794854386e-03,6.800250669756433344e-03,2.488892981111591202e-03
4.280000000000000000e+02,1.451308443863832953e-02,3.840665217956678451e-02,5.109517109809480484e-01,3.836533405721270773e-02,1.598799059803780341e-03,2.545776707543985669e-03,6.775983098508246011e-03,2.519712756549205134e-03
4.300000000000000000e+02,1.403868619276110903e-02,3.718439057979171236e-02,5.250089851572149469e-01,3.717280320466523347e-02,1.546736623773180188e-03,2.504282735154171949e-03,6.884260462784072901e-03,2.527833269846371973e-03
4.320000000000000000e+02,1.359778059645055590e-02,3.664209675232583258e-02,5.384926592351326757e-01,3.651762972587824924e-02,1.524261650026303028e-03,2.480324174899549167e-03,6.923701574831801070e-03,2.505519777928295888e-03
4.340000000000000000e+02,1.336238576035489976e-02,3.712580005271374356e-02,5.571147817027883864e-01,3.703875081773658207e-02,1.484879790780863464e-03,2.480447151798322817e-03,7.064294380738704929e-03,2.488974590213390448e-03
4.360000000000000000e+02,1.299304029215238819e-02,3.833266478028030805e-02,5.701761045631543734e-01,3.825923922491480944e-02,1.467270964301794784e-03,2.450571982533900940e-03,7.158090130116097349e-03,2.450582356165915965e-03
4.380000000000000000e+02,1.276637817214203510e-02,4.094434663965470372e-02,5.860113131524709029e-01,4.084768666933014103e-02,1.434735673072531654e-03,2.443382409724513017e-03,7.236906736582947829e-03,2.465706989755192969e-03
4.400000000000000000e+02,1.245396546938398394e-02,4.451769110311858818e-02,5.984540337803523347e-01,4.445281790303078767e-02,1.402197056351114956e-03,2.544021652209060673e-03,7.146736230092220338e-03,2.547185556360576520e-03
4.420000000000000000e+02,1.223337886854566903e-02,4.999724928781056066e-02,6.163542406577355859e-01,4.989737135530490642e-02,1.382670991676109842e-03,2.724953792126023205e-03,7.362523044469310336e-03,2.786956019932671554e-03
4.440000000000000000e+02,1.191046840265196430e-02,5.703948591956554959e-02,6.289932937800747359e-01,5.687788833545483203e-02,1.362631548616485572e-03,3.223436389271293247e-03,7.510391533926293745e-03,3.231297181495799888e-03
4.460000000000000000e+02,1.165482112479164153e-02,6.597387037989241310e-02,6.432949239449957668e-01,6.581900633207402040e-02,1.327237974482333143e-03,3.487390816571781047e-03,7.577210060294415316e-03,3.474211819034453592e-03
4.480000000000000000e+02,1.140919742080511237e-02,7.476681212069169469e-02,6.553257659967205440e-01,7.458687850231593419e-02,1.297637446276318773e-03,3.496022977460005402e-03,7.666921244640910980e-03,3.542878112124724175e-03
4.500000000000000000e+02,1.103608130336147276e-02,8.249259211755947951e-02,6.607755162518982317e-01,8.232004423761990486e-02,1.265592100669917777e-03,3.924408493168670721e-03,7.727911859065631633e-03,3.982543607773164976e-03
4.520000000000000000e+02,1.068664117966504692e-02,8.787471436678455372e-02,6.636279072499365883e-01,8.775849523527230744e-02,1.224671380644856439e-03,4.054301116102780773e-03,7.541919273898621025e-03,4.042899086699905040e-03
4.540000000000000000e+02,1.034628211480783169e-02,8.925251631997266344e-02,6.654223188625109087e-01,8.909968800771339570e-02,1.207203969245410286e-03,4.088572553239749538e-03,7.582208049471571808e-03,4.122674770789356603e-03
4.560000000000000000e+02,1.011971873347070235e-02,8.705380437813706185e-02,6.720406752234687753e-01,8.686599719020926536e-02,1.226108774783697545e-03,4.164410397509652265e-03,7.585114495360134428e-03,4.184701176321025361e-03
4.580000000000000000e+02,1.004251651897350266e-02,8.197472609703282398e-02,6.796397211866155308e-01,8.176992587690762315e-02,1.191494485575113295e-03,4.061575259024375294e-03,7.562131188457207019e-03,4.040934038336722184e-03
4.600000000000000000e+02,1.011019221026114752e-02,7.637818451132462327e-02,6.920742619809843177e-01,7.625344282886954705e-02,1.186567784875078475e-03,3.838622226775568243e-03,7.805322482614467441e-03,3.900946178350852070e-03
4.620000000000000000e+02,1.026172551429228516e-02,7.145626812152086615e-02,7.011077801935023945e-01,7.128104237754549766e-02,1.171707532635035383e-03,3.651169905008120210e-03,7.955002732804163784e-03,3.683898961538524270e-03
4.640000000000000000e+02,1.060117079234231853e-02,6.877042945643317695e-02,7.119335461778176777e-01,6.858647510935915459e-02,1.191649310076769303e-03,3.622863657581547412e-03,7.948739961899814813e-03,3.650997953601528914e-03
4.660000000000000000e+02,1.104793004916553023e-02,6.825721312176315225e-02,7.162307274088461906e-01,6.812606870800089198e-02,1.188196132083497222e-03,3.683094725566805460e-03,7.907180429273239983e-03,3.709691979660037758e-03
4.680000000000000000e+02,1.165625869359728124e-02,7.045793836460481629e-02,7.179360511456223115e-01,7.030712234815689188e-02,1.169973752748395450e-03,3.903121974156960241e-03,7.762378654297292895e-03,3.926126698221354266e-03
4.700000000000000000e+02,1.228315026280653657e-02,7.505859887722401980e-02,7.118542505253729891e-01,7.485870390216568804e-02,1.172308173635277107e-03,4.275601015045688187e-03,7.622202251081670009e-03,4.304468303369200083e-03
4.720000000000000000e+02,1.322456190512361247e-02,8.401073885791938978e-02,7.134873709059145197e-01,8.392526619879579763e-02,1.206735262143748561e-03,4.602585074459318235e-03,7.583076842403216854e-03,4.661700697837009924e-03
4.740000000000000000e+02,1.435039033815366585e-02,9.677598344959770227e-02,7.115045699434168203e-01,9.671742997541242504e-02,1.244173677328162201e-03,5.267685492790569884e-03,7.639608517298753301e-03,5.338166211221738976e-03
4.760000000000000000e+02,1.565368289598076737e-02,1.164332601231644337e-01,7.141494192889972226e-01,1.163610239351313275e-01,1.299924138243604759e-03,6.119696062347511692e-03,7.771309798575065132e-03,6.165087267756814635e-03
4.780000000000000000e+02,1.719865959669663463e-02,1.444424235271465351e-01,7.161995887517301762e-01,1.443589062453105587e-01,1.385515678563755673e-03,7.403120110416227390e-03,8.027352671602426201e-03,7.450612781084321040e-03
4.800000000000000000e+02,1.901457769268961873e-02,1.839502107206661685e-01,7.169920553865809509e-01,1.839562567638302337e-01,1.447178985719428310e-03,8.842482120512388730e-03,8.300319180504224861e-03,8.826348241011763851e-03
4.820000000000000000e+02,2.131395384199603546e-02,2.376275341333672075e-01,7.153019278345204013e-01,2.377399639234740181e-01,1.594371111910879895e-03,1.033476243958025148e-02,8.284151380379328744e-03,1.041025326085910988e-02
4.840000000000000000e+02,2.436786088833097635e-02,3.058378553047084725e-01,7.082330278121241607e-01,3.060872151610308789e-01,1.755442275403872304e-03,1.164853514701453749e-02,8.295850164286156306e-03,1.168885270123146657e-02
4.860000000000000000e+02,2.806588834155361936e-02,3.876071641510946408e-01,6.992107711189795571e-01,3.878900755371575970e-01,1.787149270150902329e-03,1.258364992681222302e-02,8.282844399209321126e-03,1.249266767844347571e-02
4.880000000000000000e+02,3.191947752048163861e-02,4.765807883065478756e-01,6.861838509444746492e-01,4.770713364954119462e-01,1.776602414767664397e-03,1.268152903504472795e-02,8.289465069362192406e-03,1.269429458189738624e-02
