# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.600000000000000000e+02,2.037418932281085532e-02,5.734781204712653679e-02,7.746806512981772030e-01,5.605031106940413371e-02,6.818536764762561479e-04,1.933937948285606662e-03,4.717718836020777864e-03,1.897752868781754382e-03
4.620000000000000000e+02,2.063546055534857052e-02,6.670986793873512344e-02,7.769089990399217216e-01,6.540590373790801382e-02,6.879875859396853734e-04,2.186853919893297707e-03,4.667796898863136798e-03,2.133075797545470106e-03
4.640000000000000000e+02,2.120931956280168451e-02,8.181649088047017460e-02,7.791187460872274206e-01,8.048372438578969834e-02,6.952999313588072682e-04,2.525410952505602238e-03,4.629414684777961864e-03,2.470044923054333288e-03
4.660000000000000000e+02,2.206561893887626705e-02,1.034810319488541491e-01,7.779957540829798290e-01,1.021538977055010122e-01,6.966529608862959567e-04,2.920981007102617117e-03,4.546788701237038446e-03,2.917204463267939266e-03
4.680000000000000000e+02,2.326809980287366381e-02,1.350055228352641523e-01,7.800363344025953438e-01,1.336973527201875678e-01,7.143983976755424389e-04,3.450393479935009219e-03,4.605124769314298400e-03,3.453123565090771268e-03
4.700000000000000000e+02,2.451820862573686824e-02,1.758014128454128133e-01,7.734144728411664893e-01,1.745283728653002076e-01,7.332157197832376303e-04,4.025745170695167047e-03,4.524227528399097503e-03,4.007715538184524091e-03
4.720000000000000000e+02,2.618652114567549677e-02,2.321618774837555799e-01,7.710780633840834675e-01,2.308933847667745676e-01,7.575180474629260525e-04,4.602718621884079389e-03,4.514073356849035087e-03,4.584921040765886809e-03
4.740000000000000000e+02,2.768206954580487364e-02,2.995989824785963984e-01,7.597891927299633696e-01,2.984165292184612905e-01,7.904468020168664262e-04,5.006866782569256366e-03,4.474854518565279590e-03,4.989861562649446948e-03
4.760000000000000000e+02,2.943251006296410816e-02,3.793248203508860494e-01,7.564103356821466617e-01,3.781300075567998742e-01,8.186997159310809014e-04,5.314354548238009110e-03,4.589610499980331486e-03,5.267705547728112128e-03
4.780000000000000000e+02,3.083798235491923972e-02,4.618523374021678563e-01,7.474863705185816887e-01,4.606710186721434397e-01,8.649526090733032895e-04,5.419994010109365629e-03,4.569324677156870115e-03,5.447676761692298031e-03
4.800000000000000000e+02,3.175188142474535957e-02,5.411976490529660788e-01,7.347695761325168107e-01,5.400192506894673228e-01,8.846125260417965009e-04,5.417975976414686305e-03,4.598492420620887110e-03,5.388775709766153131e-03
4.820000000000000000e+02,3.210357083229219838e-02,6.130352252901339893e-01,7.188374330974930393e-01,6.119009174761627090e-01,9.072855805386462061e-04,5.288001065813330119e-03,4.531045018365061246e-03,5.389372936129896603e-03
4.840000000000000000e+02,3.222580446559888956e-02,6.768816107908147695e-01,7.024719761425844977e-01,6.757156428555607386e-01,9.085730800900212881e-04,5.214428181744791210e-03,4.523901379360821713e-03,5.251238279429461427e-03
